"city","year","month","time","long","lat","site","Wind Speed - Resultant","Outdoor Temperature","Barometric pressure","Ozone"
"Bakersfield",2008,2,98,-119.041209,35.356092,"Bakersfield-California",16.2291013103448,24.6404127931035,9.65704024137938,0.0306181379310345
"Bakersfield",2008,3,99,-119.041209,35.356092,"Bakersfield-California",7.813172,21.0268817096774,8.13239241935491,0.0354328064516129
"Bakersfield",2008,4,100,-119.041209,35.356092,"Bakersfield-California",8.3763888,28.3972222,7.78124996666668,0.0370042
"Bakersfield",2008,5,101,-119.041209,35.356092,"Bakersfield-California",8.33333332258065,28.9556450322581,7.48413977419352,0.0385657741935484
"Bakersfield",2008,6,102,-119.041209,35.356092,"Bakersfield-California",5.6291667,28.0083332666667,7.15791663333334,0.0584264222222222
"Bakersfield",2008,7,103,-119.041209,35.356092,"Bakersfield-California",4.73655909677419,23.1129032258064,6.48293022580651,0.0521312903225806
"Bakersfield",2008,8,104,-119.041209,35.356092,"Bakersfield-California",6.0712365483871,18.8279570645161,5.0608870967742,0.0521421851851852
"Bakersfield",2008,9,105,-119.041209,35.356092,"Bakersfield-California",3.5388889,21.3222222333333,5.41291669999998,0.0536479666666667
"Bakersfield",2008,10,106,-119.041209,35.356092,"Bakersfield-California",11.5712365483871,25.8965053225807,9.1002688064516,0.0523575483870968
"Bakersfield",2008,11,107,-119.041209,35.356092,"Bakersfield-California",8.043901,24.0245773333333,8.93649760000005,0.0275028666666667
"Bakersfield",2008,12,108,-119.041209,35.356092,"Bakersfield-California",10.6626344193548,17.1680106451613,11.4220430322581,0.0249280967741935
"Bakersfield",2009,1,109,-119.041209,35.356092,"Bakersfield-California",6.07930106451613,24.1904935806452,13.2966398064516,0.0237943870967742
"Bakersfield",2009,2,110,-119.041209,35.356092,"Bakersfield-California",14.1338638571429,28.4225543571429,7.29937889285725,0.0280565
"Bakersfield",2009,3,111,-119.041209,35.356092,"Bakersfield-California",8.14650532258064,23.7486559032258,10.0514783870967,0.0356591612903226
"Bakersfield",2009,4,112,-119.041209,35.356092,"Bakersfield-California",9.26388903333333,33.3624999333333,9.33569436666664,0.0390398333333333
"Bakersfield",2009,5,113,-119.041209,35.356092,"Bakersfield-California",6.53629038709677,25.8346773870968,8.52741935483868,0.0414113870967742
"Bakersfield",2009,6,114,-119.041209,35.356092,"Bakersfield-California",6.3444445,29.4208332666667,3.96888893333335,0.0476372666666667
"Bakersfield",2009,7,115,-119.041209,35.356092,"Bakersfield-California",3.92473109677419,21.8884408709677,5.98319883870977,0.0394608709677419
"Bakersfield",2009,8,116,-119.041209,35.356092,"Bakersfield-California",4.28494622580645,19.5282258387097,5.03454303225806,0.0554301612903226
"Bakersfield",2009,9,117,-119.041209,35.356092,"Bakersfield-California",7.49003616666667,21.8013889,8.13694446666671,0.0585333
